faction_title,ID
"ВО ""Батьківщина""",1
"ВО ""Свобода""",6
"Група ""Економічний розвиток""",7
"Група ""За мир та стабільність""",9
"Група ""Суверенна європейська Україна""",8
Комуністична партія України,4
Не входить до складу жодної фракції,5
Партія регіонів,3
УДАР,2
